F0	F10	F20	F30	F40	F50	F60
2L.652306885010	0.0555555555555556	0.0247933884297521	0.0337837837837838	0.00434782608695652	0	0	0
2L.121034779585	0.0236220472440945	0	0	0	0	0	0.0116279069767442
2L.8636452659477	0.228464419475655	0.155844155844156	0.111111111111111	0.170731707317073	0.143790849673203	0.0987654320987654	0.10126582278481
2L.1094767147628	0.0103092783505155	0.0136986301369863	0.0547945205479452	0.0441176470588235	0	0	0.037037037037037
2L.8164237432769	0.0118694362017804	0	0	0	0	0.0078740157480315	0
2L.2597836663045	0.540983606557377	0.506024096385542	0.483221476510067	0.513513513513513	0.4	0.351351351351351	0.339130434782609
2L.34982807491	0.123287671232877	0.0736842105263158	0.00900900900900901	0.0505050505050505	0.0641025641025641	0.010989010989011	0
2L.5767446572132	0.164473684210526	0.1375	0.12962962962963	0.0746268656716418	0.175824175824176	0.153846153846154	0.0461538461538462
2L.2643393341361	0.00625	0	0	0	0	0	0
2L.3509741159332	0.0163934426229508	0.00917431192660551	0	0	0	0	0
2L.2947224978047	0.114754098360656	0.116504854368932	0.0481927710843374	0.0277777777777778	0.0821917808219178	0.0810810810810811	0.12280701754386
2L.3597554829762	0.0259067357512953	0.027027027027027	0.0213903743315508	0	0.04	0.0641025641025641	0.0357142857142857
2L.6540991371859	0.0141509433962264	0	0	0	0	0	0
2L.622345356207	0.0421686746987952	0.0777777777777778	0.0458015267175573	0.0138888888888889	0.0434782608695652	0	0.0547945205479452
2L.3256362700342	0.00766283524904215	0.00714285714285714	0.00975609756097561	0	0	0	0
2L.7676329800506	0.0909090909090909	0.136986301369863	0.0769230769230769	0.155555555555556	0	0	0
2L.5322448532355	0.0283018867924528	0	0.0125	0.0317460317460317	0	0	0
2L.970332324967	0.0619047619047619	0.0869565217391304	0.09375	0.0701754385964912	0	0.00806451612903226	0
2L.4261539111619	0.0838323353293413	0.0595238095238095	0.083969465648855	0.0117647058823529	0.05	0.0210526315789474	0.0480769230769231
2L.1497387164264	0.153846153846154	0.201834862385321	0.15	0.247191011235955	0.291666666666667	0.355140186915888	0.397435897435897
2L.5419862759723	0.050314465408805	0.0377358490566038	0.0185185185185185	0.0217391304347826	0.0608695652173913	0.0588235294117647	0
2L.1741239327357	0.0311111111111111	0.016260162601626	0	0	0	0	0
2L.5185502600560	0.0157068062827225	0.0297029702970297	0.0720720720720721	0.0769230769230769	0	0	0
2L.2815921023938	0.216730038022814	0.181818181818182	0.190909090909091	0.175	0.0886075949367089	0.195402298850575	0.177215189873418
2L.9429987107858	0.015625	0.01	0.00709219858156028	0.0119047619047619	0	0	0
2L.710637313805	0.221621621621622	0.240601503759398	0.100917431192661	0.156862745098039	0.142857142857143	0.208791208791209	0.142857142857143
2L.1890101978123	0.0497925311203319	0.0188679245283019	0.016260162601626	0	0	0	0
2L.8662517153664	0.0703517587939698	0.10752688172043	0.0357142857142857	0.0495049504950495	0.032520325203252	0.134146341463415	0.0813953488372093
2L.5702261546152	0.189054726368159	0.111111111111111	0.2	0.171428571428571	0.181818181818182	0.0845070422535211	0.147058823529412
2L.353189306270	0.0301204819277108	0.0126582278481013	0.0403225806451613	0.0819672131147541	0.112068965517241	0.0897435897435897	0.0375
2L.2331446409737	0	0	0.024390243902439	0.0461538461538462	0.0294117647058824	0.0347222222222222	0.0763358778625954
2L.1421316340525	0.00584795321637427	0	0	0	0	0	0
2L.6631686391049	0.00584795321637427	0	0	0	0	0	0.0106382978723404
2L.5259488271925	0.0268199233716475	0	0.008	0	0	0	0
2L.9572983580157	0.316546762589928	0.343137254901961	0.423728813559322	0.227722772277228	0.147058823529412	0.156626506024096	0.155844155844156
2L.5267438182609	0.0514285714285714	0.0447761194029851	0.0181818181818182	0	0	0	0
2L.2617516901647	0.0112994350282486	0.0419161676646707	0.0675675675675676	0.105263157894737	0.0892857142857143	0.0517241379310345	0.0686274509803922
2L.301596101708	0.050561797752809	0.012987012987013	0	0	0	0	0
2L.6285983781358	0.00909090909090909	0.012987012987013	0.0151515151515152	0	0	0	0
2L.2410438198245	0.00947867298578199	0.00970873786407767	0	0	0	0	0
2L.6214291740239	0.00598802395209581	0	0	0.00512820512820513	0	0	0
2L.5432265734202	0.0607734806629834	0.101851851851852	0.0697674418604651	0	0.0952380952380952	0.0978260869565217	0.135802469135802
2L.3138190529124	0.0719424460431655	0.111111111111111	0.115702479338843	0.2	0.347368421052632	0.458333333333333	0.511450381679389
2L.9121508824742	0.119617224880383	0.180722891566265	0.257352941176471	0.253521126760563	0.295918367346939	0.25	0.260504201680672
2L.1710719025784	0.00343642611683849	0	0	0	0	0	0
2L.248404390681	0.0774410774410774	0.0128205128205128	0.0441176470588235	0.137254901960784	0.0833333333333333	0.00847457627118644	0.00884955752212389
2L.1708357757625	0.0153374233128834	0	0	0	0.0128205128205128	0	0
2L.1526440018396	0.00462962962962963	0	0	0	0	0	0
2L.5624168447664	0.495327102803738	0.504950495049505	0.467391304347826	0.423076923076923	0.418367346938776	0.423913043478261	0.376811594202899
2L.5790459014712	0.0145631067961165	0.0166666666666667	0	0	0	0.0865384615384615	0.0384615384615385
2L.678166196922	0.0140845070422535	0	0	0	0	0	0
2L.2659887879934	0.0909090909090909	0.135135135135135	0.312977099236641	0.271604938271605	0.206185567010309	0.27	0.324074074074074
2L.1708318863317	0.22289156626506	0.252427184466019	0.23728813559322	0.149171270718232	0.135802469135802	0.0759493670886076	0.0641025641025641
2L.8094401327325	0.0143540669856459	0.025	0.0363636363636364	0.025	0.0616438356164384	0.0886075949367089	0.0516129032258065
2L.3364457938779	0.0378787878787879	0.0303030303030303	0	0.0104166666666667	0.0222222222222222	0.0246913580246914	0
2L.9906208999102	0.0202020202020202	0	0	0	0	0	0
2L.9065294997521	0.152416356877323	0.134146341463415	0.108108108108108	0.140350877192982	0.19205298013245	0.319148936170213	0.232876712328767
2L.4871531402388	0.173913043478261	0.271929824561404	0.192307692307692	0.151162790697674	0.211538461538462	0.204819277108434	0.231578947368421
2L.3798656195727	0.106666666666667	0.152671755725191	0.124223602484472	0.11965811965812	0.0952380952380952	0.0561797752808989	0.0873015873015873
2L.8730385168020	0.0144230769230769	0.0196078431372549	0.018018018018018	0	0.079136690647482	0.0131578947368421	0.0140845070422535
2L.286886259059	0.0967741935483871	0.131944444444444	0.0476190476190476	0.0294117647058824	0.040983606557377	0.0241935483870968	0.0256410256410256
2L.3869393301274	0.364864864864865	0.406451612903226	0.37037037037037	0.402985074626866	0.471830985915493	0.494252873563218	0.444444444444444
2L.1762220126973	0.0351758793969849	0.0693069306930693	0.153846153846154	0.0227272727272727	0.0645161290322581	0.0315789473684211	0.0485436893203883
2L.8315160551748	0.0949367088607595	0.0319148936170213	0.0927835051546392	0.0925925925925926	0.0434782608695652	0.0238095238095238	0
2L.3148424825630	0.337078651685393	0.2	0.154761904761905	0.282758620689655	0.253731343283582	0.175675675675676	0.171875
2L.7731334227530	0.037037037037037	0	0	0	0	0	0
2L.4526697312331	0.404682274247492	0.358333333333333	0.285714285714286	0.228187919463087	0.1	0.181818181818182	0.148936170212766
2L.9127933586690	0.0296296296296296	0.0737704918032787	0	0	0	0	0
2L.4158371773903	0.00458715596330275	0	0.008	0.0175438596491228	0.00970873786407767	0	0.0254237288135593
2L.838737350055	0.0275590551181102	0	0.00819672131147541	0	0	0	0
2L.3154741464804	0.034965034965035	0.0337078651685393	0.0344827586206897	0.00689655172413793	0.0161290322580645	0.0120481927710843	0.0136986301369863
2L.506492338183	0.0666666666666667	0.130841121495327	0.196078431372549	0.230769230769231	0.210526315789474	0.114285714285714	0.0555555555555556
2L.4885658034305	0.563218390804598	0.385714285714286	0.34375	0.4	0.256880733944954	0.392523364485981	0.345132743362832
2L.8052979536868	0.00398406374501992	0	0	0	0	0	0
2L.7638317403902	0.0227272727272727	0.0148148148148148	0.0273972602739726	0.00980392156862745	0.018348623853211	0	0
2L.5941048227014	0.0351758793969849	0.0520833333333333	0.037593984962406	0.0470588235294118	0.0114942528735632	0.0173913043478261	0.0298507462686567
2L.5984094372117	0.0909090909090909	0.175824175824176	0.16793893129771	0.155844155844156	0.107142857142857	0.182926829268293	0.124087591240876
2L.2334797377536	0.0138248847926267	0.0161290322580645	0.00598802395209581	0.0178571428571429	0.0102040816326531	0.0326086956521739	0.0337078651685393
2L.4747532753301	0.0192307692307692	0.0555555555555556	0	0	0.00775193798449612	0	0
2L.9409002663354	0.358381502890173	0.403225806451613	0.4	0.352331606217617	0.328671328671329	0.32520325203252	0.300813008130081
2L.5601903385123	0.00520833333333333	0	0	0	0	0	0
2L.3667826052574	0.0113636363636364	0	0	0	0	0	0
2L.9416525073900	0.0381679389312977	0.0375	0.024390243902439	0.00666666666666667	0	0	0
2L.2002389448463	0.0145985401459854	0	0	0	0	0	0
2L.2989691550612	0.0742574257425743	0.0943396226415094	0.0569105691056911	0.0208333333333333	0.0354609929078014	0	0
2L.729653043799	0	0	0	0	0.019047619047619	0	0
2L.8669619389604	0.15979381443299	0.243243243243243	0.316546762589928	0.25	0.278195488721804	0.3	0.195804195804196
2L.8305998802748	0.0100502512562814	0.00769230769230769	0	0	0	0	0
2L.7181039440266	0.256410256410256	0.280701754385965	0.41	0.298245614035088	0.308510638297872	0.326732673267327	0.224137931034483
2L.9297582087413	0.0699300699300699	0.0526315789473684	0.109243697478992	0.0656565656565657	0.0958904109589041	0	0.0218978102189781
2L.3568263535767	0.0155642023346304	0.012987012987013	0	0	0	0	0
2L.8173282681914	0.0343347639484979	0.0273972602739726	0	0.027027027027027	0	0	0
2L.7352500176642	0.0211267605633803	0.0333333333333333	0.0128205128205128	0.0454545454545455	0	0.0506329113924051	0.0727272727272727
2L.3065603960048	0.152317880794702	0.116071428571429	0.178861788617886	0.151376146788991	0.293333333333333	0.233009708737864	0.118518518518519
2L.8262438859003	0.024390243902439	0.0555555555555556	0	0	0.0285714285714286	0.0660377358490566	0.0149253731343284
2L.7704244720274	0.273469387755102	0.375	0.486725663716814	0.378787878787879	0.330827067669173	0.25609756097561	0.445945945945946
2L.5347513461525	0.046875	0	0	0	0	0	0
2L.839691003484	0.048951048951049	0.037037037037037	0.0862068965517241	0.0625	0.0136986301369863	0.0471698113207547	0.0206185567010309
2L.6230999532550	0.427652733118971	0.403361344537815	0.513513513513513	0.423312883435583	0.426470588235294	0.555555555555556	0.592920353982301
2L.42480800953	0.0127659574468085	0	0	0	0	0	0
2L.3251435575708	0.213414634146341	0.186915887850467	0.169491525423729	0.146666666666667	0.0593220338983051	0.12	0.0568181818181818
2L.1491839511117	0.0317460317460317	0.0327868852459016	0.00763358778625954	0.03	0.0175438596491228	0.01	0.0338983050847458
2L.2662869020620	0.43859649122807	0.378571428571429	0.184834123222749	0.171428571428571	0.398148148148148	0.274725274725275	0.386792452830189
2L.2478814921206	0.0420168067226891	0.0679611650485437	0.0641025641025641	0.0158730158730159	0.0833333333333333	0.0392156862745098	0.015625
2L.5388842626889	0.0174672489082969	0	0	0.0117647058823529	0	0	0
2L.5469548149996	0.0306748466257669	0.118181818181818	0.0842105263157895	0.142857142857143	0.0759493670886076	0.130434782608696	0.133333333333333
2L.4451304008314	0.101063829787234	0.0833333333333333	0.0428571428571429	0	0	0	0
2L.5431139127817	0.0297619047619048	0.0285714285714286	0.0307692307692308	0.0476190476190476	0.0326086956521739	0	0
2L.372804279610	0.00843881856540084	0	0	0.0131578947368421	0	0.0140845070422535	0
2L.3808383598833	0.0344827586206897	0.0434782608695652	0.125	0.0714285714285714	0.0709677419354839	0.0337078651685393	0
2L.4161466668645	0.253086419753086	0.0673076923076923	0.193548387096774	0.143835616438356	0.268041237113402	0.201923076923077	0.26984126984127
2L.1754037095687	0.0560344827586207	0	0.00675675675675676	0	0	0	0
2L.8242780642509	0.00625	0	0	0	0	0	0
2L.4305404962113	0.104477611940299	0.0566037735849057	0.0443037974683544	0.036144578313253	0.0318471337579618	0.0824742268041237	0.025
2L.6809910629462	0.049645390070922	0.0294117647058824	0.00704225352112676	0	0	0	0
2L.2643298508732	0.0189873417721519	0	0	0	0	0	0
2L.7889964695270	0.114864864864865	0.0857142857142857	0.020979020979021	0.0681818181818182	0.104477611940299	0.16	0.253968253968254
2L.9106733042132	0.467065868263473	0.393617021276596	0.376146788990826	0.29126213592233	0.25609756097561	0.216666666666667	0.246913580246914
2L.5829244320946	0.165644171779141	0.0736842105263158	0.0694444444444444	0.0595238095238095	0.0714285714285714	0.0821917808219178	0.0617283950617284
2L.2107489579817	0.272413793103448	0.213235294117647	0.291970802919708	0.19047619047619	0.112244897959184	0.136363636363636	0.142857142857143
2L.7806076106554	0.0829268292682927	0.099009900990099	0.0949367088607595	0.131868131868132	0.099290780141844	0.08	0.0273972602739726
2L.7672156699228	0.0256410256410256	0	0	0	0	0	0
2L.6657065159342	0.00444444444444444	0	0	0.0151515151515152	0	0	0
2L.1702981937409	0.0764331210191083	0.0476190476190476	0.0227272727272727	0.0363636363636364	0.0505050505050505	0	0.0865384615384615
2L.6369755477528	0.00543478260869565	0	0	0	0	0	0
2L.8333653523564	0	0.0111111111111111	0.048	0.0147058823529412	0.043956043956044	0	0
2L.428310538450	0.0176991150442478	0.020979020979021	0	0	0	0	0
2L.5018886025055	0.570446735395189	0.504065040650406	0.371681415929204	0.475	0.25	0.494505494505495	0.546666666666667
2L.4844834710141	0.00471698113207547	0.021505376344086	0	0	0	0	0
2L.4470488519558	0.0895522388059701	0.0847457627118644	0.281879194630872	0.222222222222222	0.284313725490196	0.350877192982456	0.222222222222222
2L.5203195367894	0.132275132275132	0.0923076923076923	0.179487179487179	0.0855855855855856	0.149700598802395	0.193548387096774	0.21264367816092
2L.1099283951978	0.0823863636363636	0.119760479041916	0.104166666666667	0.133333333333333	0.079646017699115	0.0535714285714286	0.0568181818181818
2L.5191862352864	0.248756218905473	0.153846153846154	0.189873417721519	0.121212121212121	0.15	0.134615384615385	0.087719298245614
2L.7942322745270	0.333333333333333	0.185430463576159	0.22962962962963	0.162790697674419	0.153061224489796	0.238095238095238	0.211538461538462
2L.7316430764968	0.00934579439252336	0.00826446280991736	0.0075187969924812	0.0170940170940171	0.0087719298245614	0.0111111111111111	0.0145985401459854
